Folder Path,Title,Version Name,Version Date,External Key,Folder ID,Doc ID,Doc Code,Web Viewer URL,Processing Status,Processing Message
"Main Folder/IES Lighting Library/Z_Deprecated Standards Archive","LM-40-20","Version: 1",06/29/2026 19:06:33,,22cde7b7-24b4-4bac-96a0-54d7718c57f4,2cf0dd8c-2ec5-49c7-a23d-66538fd3a1e2,0000-2E4F-3A93B3-0065669C,"https://view.protectedpdf.com/pcuFqC",Completed,Processing completed successfully
"Main Folder/IES Lighting Library/Z_Deprecated Standards Archive","LM-41-14_final","Version: 1",06/29/2026 19:06:33,,22cde7b7-24b4-4bac-96a0-54d7718c57f4,291e9e62-a181-4293-af88-d446df11992e,0000-2E4F-3A93B5-0065669E,"https://view.protectedpdf.com/BBytec",Completed,Processing completed successfully
"Main Folder/IES Lighting Library/Z_Deprecated Standards Archive","LM-41-20","Version: 1",06/29/2026 19:06:33,,22cde7b7-24b4-4bac-96a0-54d7718c57f4,7a0bc724-ce11-42b5-86d8-c2d9cbb3e8ac,0000-2E4F-3A93B6-0065669F,"https://view.protectedpdf.com/z4phK8",Completed,Processing completed successfully
"Main Folder/IES Lighting Library/Z_Deprecated Standards Archive","LM-45-15_final","Version: 1",06/29/2026 19:06:33,,22cde7b7-24b4-4bac-96a0-54d7718c57f4,c11183eb-4833-4665-a0c4-06f3ff3cdc8f,0000-2E4F-3A93B7-006566A0,"https://view.protectedpdf.com/pPxCKY",Completed,Processing completed successfully
"Main Folder/IES Lighting Library/Z_Deprecated Standards Archive","LM-45-20","Version: 1",06/29/2026 19:06:34,,22cde7b7-24b4-4bac-96a0-54d7718c57f4,65f07d48-9945-461d-a2a6-1f37c08fb8ad,0000-2E4F-3A93B8-006566A1,"https://view.protectedpdf.com/Q2Eq3k",Completed,Processing completed successfully
"Main Folder/IES Lighting Library/Z_Deprecated Standards Archive","LM-46-04","Version: 1",06/29/2026 19:06:34,,22cde7b7-24b4-4bac-96a0-54d7718c57f4,0ffab3fc-d3de-4935-ae75-8a25a46f3aaa,0000-2E4F-3A93B9-006566A2,"https://view.protectedpdf.com/WTNW7Q",Completed,Processing completed successfully
"Main Folder/IES Lighting Library/Z_Deprecated Standards Archive","LM-46-20","Version: 1",06/29/2026 19:06:34,,22cde7b7-24b4-4bac-96a0-54d7718c57f4,13ae6e32-1590-4648-a3fc-7256c251b070,0000-2E4F-3A93BA-006566A3,"https://view.protectedpdf.com/R8kG46",Completed,Processing completed successfully
"Main Folder/IES Lighting Library/Z_Deprecated Standards Archive","LM-47-12_FINAL2015","Version: 1",06/29/2026 19:06:34,,22cde7b7-24b4-4bac-96a0-54d7718c57f4,b72464b3-22c8-4bee-8f4b-28d8e6afc159,0000-2E4F-3A93BB-006566A4,"https://view.protectedpdf.com/pKVJWg",Completed,Processing completed successfully
"Main Folder/IES Lighting Library/Z_Deprecated Standards Archive","LM-47-20","Version: 1",06/29/2026 19:06:35,,22cde7b7-24b4-4bac-96a0-54d7718c57f4,02e7d733-8e42-423f-b87f-fd9a22de0335,0000-2E4F-3A93BC-006566A5,"https://view.protectedpdf.com/GJbxPG",Completed,Processing completed successfully
"Main Folder/IES Lighting Library/Z_Deprecated Standards Archive","LM-49-12_FINALall","Version: 1",06/29/2026 19:06:35,,22cde7b7-24b4-4bac-96a0-54d7718c57f4,c0e81012-b9d1-4c7c-beb1-62436615caab,0000-2E4F-3A93BE-006566A7,"https://view.protectedpdf.com/twnjQa",Completed,Processing completed successfully
